Galaxy,Distance,Sigma, DeltaSigma , K , B-V ,M,MBH, DeltaMBHL , DeltaMBHH ,HT, Ref.  
ESO558-G009 , 102 ,  170.0  , 20.0 , \nodata , \nodata  ,  \nodata  , 1.7e+07 , 1.0e+06 , 1.0e+06 ,S, 1 
IC4296 , 49 ,  322.1  , 16.3 , 7.37 , 1.00  ,  11.7  , 1.3e+09 , 2.2e+08 , 2.2e+08 ,E, 2 
J0437+2456 , 66 ,  110.0  , 13.0 , \nodata , \nodata  ,  \nodata  , 2.8e+06 , 2.0e+05 , 2.0e+05 ,S, 1 
Mrk1029 , 124 ,  132.0  , 15.0 , \nodata , \nodata  ,  \nodata  , 1.9e+06 , 6.0e+05 , 6.0e+05 ,S, 1 
NGC0307 , 52 ,  204.2  , 3.3 , 9.60 , 0.97  ,  10.9  , 4.0e+08 , 5.5e+07 , 5.5e+07 ,E, 2 
NGC0584 , 19 ,  189.0  , 5.0 , 7.31 , 0.95  ,  10.9  , 1.3e+08 , 5.0e+07 , 5.0e+07 ,E, 3  
NGC1320 , 49 ,  141.0  , 16.0 , 9.41 , 0.86  ,  10.9  , 5.5e+06 , 2.5e+06 , 2.5e+06 ,S, 2  
NGC1398 , 24 ,  233.9  , 3.8 , 6.51 , 0.97  ,  11.4  , 1.1e+08 , 2.1e+07 , 2.1e+07 ,S, 2 
NGC1600 , 64 ,  293.0  , 30.0 , 7.83 , 1.04  ,  11.7  , 1.7e+10 , 1.5e+09 , 1.5e+09 ,E, 4  
NGC2784 , 9 ,  188.0  , 8.0 , 6.36 , 1.15  ,  10.7  , 1.0e+08 , 6.0e+07 , 6.0e+07 ,E, 3  
NGC2974 , 21 ,  227.0  , 11.0 , 7.57 , 0.99  ,  10.9  , 1.7e+08 , 3.6e+07 , 3.6e+07 ,E, 2  
NGC3031 , 3 ,  142.9  , 6.9 , 3.88 , 1.04  ,  10.8  , 6.5e+07 , 2.0e+07 , 2.0e+07 ,S, 2 
NGC3079 , 15 ,  145.9  , 7.1 , 7.13 , 0.81  ,  10.8  , 2.5e+06 , 2.8e+05 , 2.8e+05 ,S, 2 
NGC3414 , 25 ,  205.1  , 9.9 , 7.72 , 0.87  ,  11.0  , 2.5e+08 , 4.1e+07 , 4.1e+07 ,E, 2 
NGC3627 , 10 ,  122.5  , 0.6 , 5.89 , 0.83  ,  10.9  , 8.5e+06 , 9.4e+05 , 9.4e+05 ,S, 2 
